"","n_years","n_ranges","values"
"1",2016,"Natimorto",380
"2",2016,"Jovens",126
"3",2016,"Adultos",3406
"4",2016,"Idosos",5442
"5",2017,"Natimorto",408
"6",2017,"Jovens",72
"7",2017,"Adultos",3234
"8",2017,"Idosos",5324
"9",2018,"Natimorto",400
"10",2018,"Jovens",64
"11",2018,"Adultos",3050
"12",2018,"Idosos",5164
"13",2019,"Natimorto",396
"14",2019,"Jovens",96
"15",2019,"Adultos",2998
"16",2019,"Idosos",5642
"17",2020,"Natimorto",322
"18",2020,"Jovens",66
"19",2020,"Adultos",3392
"20",2020,"Idosos",6234
"21",2021,"Natimorto",216
"22",2021,"Jovens",22
"23",2021,"Adultos",2176
"24",2021,"Idosos",3498
